,关注房源人数,总价,平米价,面积,建造时间,室,厅,梯户比例,梯,户,产权年限,海景,地铁,公交,轻轨,购物,银行,饭店,学区,采光,休闲
关注房源人数,1.0,0.252244250438469,0.2036383889932886,0.15908986079686752,0.069506296191561,0.11909093165153259,0.08179984441259507,0.0944508929553801,0.07284041723905145,-0.017516787165297747,0.06170535897914617,-0.014742107266910387,0.12446442619502282,0.14303653433068492,-0.003994550970320525,0.1382149948950154,0.10233005484055774,0.04683015943540484,-0.0009871700326013334,0.08934643454601486,0.15286089252053012
总价,0.252244250438469,1.0,0.7339122711812569,0.721976034899186,0.30738284080096895,0.5547160475897791,0.45099329643920294,0.49461355125693474,0.07683035038068387,-0.35337396886544786,0.18416947985453463,0.0914755801162185,0.1096762959388114,0.023327171233341763,-0.10536476735447815,-0.008262656959847346,0.051185921544076966,-0.01562971818638213,0.013686457043515874,0.029810769177200578,0.1449183034392013
平米价,0.2036383889932886,0.7339122711812569,1.0,0.11545834300321493,0.16449770468759317,0.10393582123651066,0.07770738176435914,0.15981871470006156,0.12091291623358744,-0.07054015321174302,0.33519317720403446,0.029480515558437014,0.28468152191745705,-0.02589211906790835,-0.16271236940696837,-0.07043448522809574,0.020836943135630632,-0.04882784191393074,0.005007517357012131,-0.017006044996180917,0.12740642618071144
面积,0.15908986079686752,0.721976034899186,0.11545834300321493,1.0,0.31267447532282194,0.7382918696895684,0.6392830958947423,0.5979739876924826,-0.014990576665794111,-0.4851187915468389,-0.05105244040296071,0.1102251977984471,-0.12924651558879016,0.05858494947414938,0.0029819263493360065,0.043000303721145314,0.057201071447459,0.037167313013569944,0.02690680618274331,0.06585489362415228,0.08868841443515521
建造时间,0.069506296191561,0.30738284080096895,0.16449770468759317,0.31267447532282194,1.0,0.05401900140948283,0.18950413295161944,0.2944346793257912,0.5171771769186344,0.11622784769051163,-0.16546930008195063,0.10757325527515173,-0.13579659164816454,0.06138520124655785,0.13737343782764638,0.052629517190838554,0.0521561644158408,0.043046592476047564,0.004502114626186992,0.05342890057614938,0.1045865007547359
室,0.11909093165153259,0.5547160475897791,0.10393582123651066,0.7382918696895684,0.05401900140948283,1.0,0.48247387777690603,0.4427958763195932,-0.18546173648431763,-0.47508739966666874,0.041426772902112684,0.07769189776805603,-0.049011670807826827,0.019133083062694234,-0.036949358362995934,0.007741776318651565,0.01850536559301733,-0.005543398188118172,-0.0012872546840257248,-0.0025296949140260726,0.05211203360420774
厅,0.08179984441259507,0.45099329643920294,0.07770738176435914,0.6392830958947423,0.18950413295161944,0.48247387777690603,1.0,0.45707477918333367,-0.13814413427925318,-0.4626979317041143,0.016753715042766217,0.0591179286670881,-0.11751314369112004,0.008386163768167565,-0.04167049342023148,0.019797143957262016,-0.011525854289475841,0.026761980516967685,0.007984246532601364,0.042798206215875996,0.03495161676960045
梯户比例,0.0944508929553801,0.49461355125693474,0.15981871470006156,0.5979739876924826,0.2944346793257912,0.4427958763195932,0.45707477918333367,1.0,0.09464481161059701,-0.676874603379523,-0.0349493459256464,0.12495834265678345,-0.07743120807387949,0.050785257993704,0.004600254377503979,0.03982332521364798,0.04042254361022874,0.007253721406972945,0.02276746280755898,0.0822809038676782,0.06141289512825429
梯,0.07284041723905145,0.07683035038068387,0.12091291623358744,-0.014990576665794111,0.5171771769186344,-0.18546173648431763,-0.13814413427925318,0.09464481161059701,1.0,0.5764879013677089,-0.21481154780059766,0.12495122875000707,0.05136085579141487,0.039553327742449615,0.12419308554792009,-0.023349525046394325,0.016525011796692697,0.04198223113855929,-0.03045367201528529,-0.013227853462314726,0.07201982295176858
户,-0.017516787165297747,-0.35337396886544786,-0.07054015321174302,-0.4851187915468389,0.11622784769051163,-0.47508739966666874,-0.4626979317041143,-0.676874603379523,0.5764879013677089,1.0,-0.12732684029869012,0.0021235254427645193,0.06644228411578458,-0.00352417403834456,0.09303157420262254,-0.03462495849592769,-0.014611515074784724,0.01288897431446327,-0.033687769124821285,-0.06876825679142223,0.015448258705227128
产权年限,0.06170535897914617,0.18416947985453463,0.33519317720403446,-0.05105244040296071,-0.16546930008195063,0.041426772902112684,0.016753715042766217,-0.0349493459256464,-0.21481154780059766,-0.12732684029869012,1.0,-0.0869592804961111,0.23604734055236892,-0.06057687977294676,-0.13821285600616287,-0.043681561800377154,-0.03378134179684943,-0.09000450291779903,-0.011454667189471718,-0.036772365597176046,0.0416241220050656
海景,-0.014742107266910387,0.0914755801162185,0.029480515558437014,0.1102251977984471,0.10757325527515173,0.07769189776805603,0.0591179286670881,0.12495834265678345,0.12495122875000707,0.0021235254427645193,-0.0869592804961111,1.0,-0.015086375769945534,-0.0013756921472689162,-0.01205619161634078,-0.015418350140075358,-0.020145036930795654,0.10860957177089282,0.028146173497322284,0.040962572581525476,0.07759581544947755
地铁,0.12446442619502282,0.1096762959388114,0.28468152191745705,-0.12924651558879016,-0.13579659164816454,-0.049011670807826827,-0.11751314369112004,-0.07743120807387949,0.05136085579141487,0.06644228411578458,0.23604734055236892,-0.015086375769945534,1.0,0.07596283199931703,0.022286232569483144,-0.018314115383212017,0.0007353799228064868,-0.03328622092643225,0.03182051213525152,-0.006790060871960427,0.07580893687894986
公交,0.14303653433068492,0.023327171233341763,-0.02589211906790835,0.05858494947414938,0.06138520124655785,0.019133083062694234,0.008386163768167565,0.050785257993704,0.039553327742449615,-0.00352417403834456,-0.06057687977294676,-0.0013756921472689162,0.07596283199931703,1.0,0.1900947048206435,0.5054754362453315,0.3762568291891414,0.15573563683517064,0.1051809615030842,0.33241555498718167,0.4223112151367512
轻轨,-0.003994550970320525,-0.10536476735447815,-0.16271236940696837,0.0029819263493360065,0.13737343782764638,-0.036949358362995934,-0.04167049342023148,0.004600254377503979,0.12419308554792009,0.09303157420262254,-0.13821285600616287,-0.01205619161634078,0.022286232569483144,0.1900947048206435,1.0,0.21031569608765077,0.1352953512036892,0.04364898570185446,0.024707449143859143,0.09282079559911083,0.10018575880427011
购物,0.1382149948950154,-0.008262656959847346,-0.07043448522809574,0.043000303721145314,0.052629517190838554,0.007741776318651565,0.019797143957262016,0.03982332521364798,-0.023349525046394325,-0.03462495849592769,-0.043681561800377154,-0.015418350140075358,-0.018314115383212017,0.5054754362453315,0.21031569608765077,1.0,0.5209598517725715,0.20396793861342918,0.10990898599945503,0.2737781983310719,0.43696380052903416
银行,0.10233005484055774,0.051185921544076966,0.020836943135630632,0.057201071447459,0.0521561644158408,0.01850536559301733,-0.011525854289475841,0.04042254361022874,0.016525011796692697,-0.014611515074784724,-0.03378134179684943,-0.020145036930795654,0.0007353799228064868,0.3762568291891414,0.1352953512036892,0.5209598517725715,1.0,0.2025371405594601,0.1579932309552536,0.20045008819732646,0.29658395436780605
饭店,0.04683015943540484,-0.01562971818638213,-0.04882784191393074,0.037167313013569944,0.043046592476047564,-0.005543398188118172,0.026761980516967685,0.007253721406972945,0.04198223113855929,0.01288897431446327,-0.09000450291779903,0.10860957177089282,-0.03328622092643225,0.15573563683517064,0.04364898570185446,0.20396793861342918,0.2025371405594601,1.0,0.12825379077237417,0.08130017254783956,0.10372488224989129
学区,-0.0009871700326013334,0.013686457043515874,0.005007517357012131,0.02690680618274331,0.004502114626186992,-0.0012872546840257248,0.007984246532601364,0.02276746280755898,-0.03045367201528529,-0.033687769124821285,-0.011454667189471718,0.028146173497322284,0.03182051213525152,0.1051809615030842,0.024707449143859143,0.10990898599945503,0.1579932309552536,0.12825379077237417,1.0,0.08335081559171802,0.16654854201262986
采光,0.08934643454601486,0.029810769177200578,-0.017006044996180917,0.06585489362415228,0.05342890057614938,-0.0025296949140260726,0.042798206215875996,0.0822809038676782,-0.013227853462314726,-0.06876825679142223,-0.036772365597176046,0.040962572581525476,-0.006790060871960427,0.33241555498718167,0.09282079559911083,0.2737781983310719,0.20045008819732646,0.08130017254783956,0.08335081559171802,1.0,0.2441578443046602
休闲,0.15286089252053012,0.1449183034392013,0.12740642618071144,0.08868841443515521,0.1045865007547359,0.05211203360420774,0.03495161676960045,0.06141289512825429,0.07201982295176858,0.015448258705227128,0.0416241220050656,0.07759581544947755,0.07580893687894986,0.4223112151367512,0.10018575880427011,0.43696380052903416,0.29658395436780605,0.10372488224989129,0.16654854201262986,0.2441578443046602,1.0
